OP;                                                              CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::special_hermite_polynomial_h;                              YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_hermite_polynomial_he;                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_i0e;                                               YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_i1;                                                YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_i1e;                                               YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_laguerre_polynomial_l;                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_legendre_polynomial_p;                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_log_ndtr;                                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_modified_bessel_i0;                                YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_modified_bessel_i1;                                YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_modified_bessel_k0;                                YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_modified_bessel_k1;                                YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_ndtri;                                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_scaled_modified_bessel_k0;                         YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_scaled_modified_bessel_k1;                         YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_shifted_chebyshev_polynomial_t;                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_shifted_chebyshev_polynomial_u;                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_shifted_chebyshev_polynomial_v;                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_shifted_chebyshev_polynomial_w;                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_spherical_bessel_j0;                               YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_xlog1py;                                           YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::special_zeta;                                              YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::split;                                                     NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::split_with_sizes;                                          NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::sqrt;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::squeeze;                                                   NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::sspaddmm;                                                  YES; YES; NO;  YES;      DF_DT; YES;     NO;   NO;           0;
aten::std;                                                       YES; YES; YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::std_mean;                                                  YES; YES; YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::sub;                                                       YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::sum;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::t;                                                         NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::take;                                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::tan;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::tanh;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::tanh_backward;                                             YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::tensordot;                                                 YES; YES; NO;  YES;      DF_DT; YES;     NO;   NO;           0;
aten::threshold;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::threshold_backward;                                        YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::to_mkldnn;                                                 YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::to_sparse;                                                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::to_sparse_bsc;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::to_sparse_bsr;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::to_sparse_csc;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::to_sparse_csr;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::topk;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::trace;                                                     YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::transpose;                                                 NO;  NO;  YES; NO;       DT_DT; NO;      YES;  YES;          2; dlrm_a, dlrm_github
aten::triangular_solve;                                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::tril;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::tril_indices;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::triu;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::triu_indices;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::trunc;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::unbind;                                                    NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::unfold;                                                    YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::unfold_backward;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::uniform;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::unique_consecutive;                                        YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::unique_dim;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::unique_dim_consecutive;                                    YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::unsqueeze;                                                 NO;  NO;  YES; NO;       DT_DT; NO;      YES;  YES;          2; googlenet, inception_v3
aten::upsample_bicubic2d;                                        YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::upsample_bicubic2d_backward;                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::upsample_bilinear2d;                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::upsample_bilinear2d_backward;                              YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::upsample_linear1d;                                         YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::upsample_linear1d_backward;                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::upsample_nearest1d;                                        YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::upsample_nearest1d_backward;                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::upsample_nearest2d;                                        YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::upsample_nearest2d_backward;                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::upsample_nearest3d;                                        YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::upsample_nearest3d_backward;                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::upsample_trilinear3d;                                      YES; YES; NO;  NO;       DT_DT; YES;     YES;  NO;           0;
aten::upsample_trilinear3d_backward;                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::var;                                                       YES; YES; YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::var_mean;                                                  YES; YES; YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::vdot;                                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::view;                                                      YES; YES; YES; NO;       DT_DF; NO;      YES;  YES;          2; dlrm_a, dlrm_github
aten::view_as_complex;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::view_as_real;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::where;                                                     YES; YES; YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::xlogy;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::zero;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
c10d::allreduce;                                                 YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
c10d::broadcast;                                                 YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
c10d::recv;                                                      YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
c10d::send;                                                      YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
mkldnn_prepacked::conv2d_prepack;                                YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
mkldnn_prepacked::conv2d_run;                                    YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
prepacked::conv2d_clamp_prepack;                                 YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
prepacked::conv2d_clamp_run;                                     YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
prepacked::conv2d_transpose_clamp_prepack;                       YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
prepacked::conv2d_transpose_clamp_run;                           YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
prepacked::linear_clamp_prepack;                                 YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
prepacked::linear_clamp_run;                                     YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantization::_Bfloat16QuantizedToFloat;                         YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
quantization::_FloatToBfloat16Quantized;                         YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
quantized::conv1d_dynamic;                                       YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::conv2d_dynamic;                                       YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::conv3d_dynamic;                                       YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::conv_transpose1d_dynamic;                             YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::conv_transpose2d_dynamic;                             YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::conv_transpose3d_dynamic;                             YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_4bit;                                       YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_2bit_prepack;                           YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_2bit_rowwise_offsets;                   YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_2bit_unpack;                            YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_4bit;                                   YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_4bit_prepack;                           YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_4bit_rowwise_offsets;                   YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
quantized::embedding_bag_4bit_unpack;                            YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
quantized::embedding_bag_byte;                                   YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_byte_prepack;                           YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::embedding_bag_byte_rowwise_offsets;                   YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
quantized::embedding_bag_byte_unpack;                            YES; YES; NO;  NA;       NA;    YES;     NO;   NO;           0;
quantized::embedding_byte;                                       YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_dynamic;                                       YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_dynamic_fp16;                                  YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_prepack_fp16;                                  YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_prepack_fp16_legacy;                           YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_relu_dynamic;                                  YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_relu_dynamic_fp16;                             YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_unpack;                                        YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::linear_unpack_fp16;                                   YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::make_quantized_cell_params;                           YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::make_quantized_cell_params_dynamic;                   YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::quantized_gru_cell_dynamic;                           YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::quantized_lstm_cell_dynamic;                          YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::quantized_rnn_relu_cell_dynamic;                      YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
quantized::quantized_rnn_tanh_cell_dynamic;                      YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
sparse::qlinear_dynamic;                                         YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
sparse::qlinear_relu_dynamic;                                    YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
torchvision::_roi_align_backward;                                NO;  NO;  YES; NA;       NA;    NO;      NO;   NO;           0;
torchvision::nms;                                                NO;  NO;  YES; NA;       NA;    NO;      NO;   NO;           0;
torchvision::roi_align;                                          NO;  NO;  YES; NA;       NA;    NO;      NO;   NO;           0;
aten::chunk;                                                     NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   YES;          1; shufflenet_v2_x1_0
aten::conv2d;                                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   YES;         13; alexnet, densenet161, googlenet, inception_v3, mnasnet1_0, mobilenet_v2, resnet18, resnet50, resnext50_32x4d, shufflenet_v2_x1_0, squeezenet1_0, vgg16, wide_resnet50_2
aten::conv3d;                                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   YES;          2; r3d_18, unet3d
aten::detach;                                                    NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   YES;          1; dlrm_github
aten::embedding_bag;                                             NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   YES;          2; dlrm_a, dlrm_github
aten::flatten;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      YES;  YES;         11; alexnet, densenet161, googlenet, inception_v3, r3d_18, resnet18, resnet50, resnext50_32x4d, squeezenet1_0, vgg16, wide_resnet50_2
aten::group_norm;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   YES;          1; unet3d
aten::max_pool2d;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      YES;  YES;         11; alexnet, densenet161, googlenet, inception_v3, resnet18, resnet50, resnext50_32x4d, shufflenet_v2_x1_0, squeezenet1_0, vgg16, wide_resnet50_2
aten::max_pool3d;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      YES;  YES;          1; unet3d
aten::relu6;                                                     NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   YES;          1; mobilenet_v2
aten::reshape;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      YES;  YES;          2; dlrm_a, mobilenet_v2
aten::to;                                                        NO;  NO;  NO;  YES;      DF_DT; NO;      YES;  YES;          1; dlrm_github
preambler::adagrad;                                              NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::append;                                               NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          1; densenet161
preambler::batch_norm2d;                                         NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;         10; densenet161, googlenet, inception_v3, mnasnet1_0, mobilenet_v2, resnet18, resnet50, resnext50_32x4d, shufflenet_v2_x1_0, wide_resnet50_2
preambler::batch_norm3d;                                         NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          1; r3d_18
preambler::bce_loss;                                             NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::conv3d_simple;                                        NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          1; r3d_18
preambler::embedding_bag_rowwise_sparse_adagrad;                 NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::embedding_bag_sparse_adagrad;                         NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::embedding_bag_sparse_sgd;                             NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::hogwild_sparse_adagrad;                               NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::listconstruct;                                        NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          8; densenet161, dlrm_a, dlrm_github, googlenet, inception_v3, shufflenet_v2_x1_0, squeezenet1_0, unet3d
preambler::numtotensor;                                          NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::output0;                                              NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;         17; alexnet, densenet161, dlrm_a, dlrm_github, googlenet, inception_v3, mnasnet1_0, mobilenet_v2, r3d_18, resnet18, resnet50, resnext50_32x4d, shufflenet_v2_x1_0, squeezenet1_0, unet3d, vgg16, wide_resnet50_2
preambler::rowwise_sparse_adagrad;                               NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::sgd;                                                  NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::sparse_adagrad;                                       NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::sparse_sgd;                                           NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          2; dlrm_a, dlrm_github
preambler::upsampling;                                           NO;  NO;  NO;  NA;       NA;    NO;      NO;   YES;          1; unet3d
