../../habana_kernels/kernels_register.cpp:2582;       hccl; allgather_out;                                      allgather_out(Tensor input_tensor, int64_t comm_id, Tensor(a!) output_tensor) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2258;       hpu;  as_strided_lazy_;                                   as_strided_lazy_(Tensor self, int[] size, int[] stride, int offset, bool can_replace) -> (Tensor);
../../habana_kernels/kernels_register.cpp:2260;       hpu;  as_strided_lazy_cl_;                                as_strided_lazy_cl_(Tensor self, int[] size, int[] stride, int offset, bool can_replace) -> (Tensor);
../../habana_kernels/kernels_register.cpp:2226;       hpu;  batched_nms;                                        batched_nms(Tensor boxes, Tensor scores, Tensor indexes, float iou_threshold, Tensor shape_tensor1, Tensor shape_tensor2, int max_classes) -> (Tensor, Tensor);
../../generated/backend/hpu_op0.cpp:1092;             hpu;  bernoulli;                                          bernoulli(Tensor self, *, Tensor? seed=None) -> Tensor;
../../generated/backend/hpu_op9.cpp:1220;             hpu;  bernoulli.float_out;                                bernoulli.float_out(Tensor self, Tensor p, *, Tensor? seed=None, Tensor(a!) out) -> Tensor(a!);
../../generated/backend/hpu_op0.cpp:1093;             hpu;  bernoulli.out;                                      bernoulli.out(Tensor self, *, Tensor? seed=None, Tensor(a!) out) -> Tensor(a!);
../../generated/backend/hpu_op0.cpp:1094;             hpu;  bernoulli_.Tensor;                                  bernoulli_.Tensor(Tensor(a!) self, Tensor p, *, Tensor? seed=None) -> Tensor(a!);
../../generated/backend/hpu_op0.cpp:1095;             hpu;  bernoulli_.float;                                   bernoulli_.float(Tensor(a!) self, Tensor p, *, Tensor? seed=None) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2198;       hpu;  cast;                                               cast(Tensor self, Scalar type) -> Tensor(a);
../../habana_kernels/kernels_register.cpp:2175;       hpu;  cat;                                                cat(Tensor[] tensors, int dim, Tensor out_shape) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1659; hpu;  control_edge_;                                      control_edge_(Tensor(a) self)-> Tensor(a);
../../habana_kernels/kernels_register.cpp:2246;       hpu;  control_edge_;                                      control_edge_(Tensor(a) self)-> Tensor(a);
../../habana_kernels/kernels_register.cpp:2245;       hpu;  control_edge_other_;                                control_edge_other_(Tensor self, Tensor(a) other) -> Tensor(a);
../../habana_kernels/kernels_register.cpp:2189;       hpu;  diag_out;                                           diag_out(Tensor self, int diagonal, Tensor(a!) out) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2184;       hpu;  div_out;                                            div_out(Tensor self, Tensor other, Tensor(a!) out) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2200;       hpu;  embedding_bag_sum;                                  embedding_bag_sum(Tensor input, Tensor indices, Tensor offsets, Tensor valid_count, int kernel_mode) -> Tensor;
../../habana_kernels/kernels_register.cpp:2202;       hpu;  embedding_bag_sum_bwd_out;                          embedding_bag_sum_bwd_out(Tensor(a!) out, Tensor input, Tensor indices_bwd, Tensor offsets_bwd, Tensor valid_count_bwd, int kernel_mode) -> Tensor(a!);
../../generated/backend/hpu_op9.cpp:1222;             hpu;  exponential;                                        exponential(Tensor self, float lambd=1.0, *, Tensor seed) -> Tensor;
../../generated/backend/hpu_op9.cpp:1221;             hpu;  exponential.out;                                    exponential.out(Tensor self, float lambd=1.0, *, Tensor seed, Tensor(a!) out) -> Tensor(a!);
../../generated/backend/hpu_op5.cpp:1253;             hpu;  exponential_;                                       exponential_(Tensor(a!) self, float lambd=1.0, *, Tensor seed) -> Tensor(a!);
../../habana_kernels/norm_kernels.cpp:2007;           hpu;  fused_norm_;                                        fused_norm_(Tensor(a!)[] grad, Tensor max_norm, float norm_type) -> Tensor;
../../habana_kernels/norm_kernels.cpp:2009;           hpu;  fused_norm_lazy;                                    fused_norm_lazy(Tensor(a!)[] grad, Tensor max_norm, float norm_type) -> Tensor;
../../habana_kernels/kernels_register.cpp:2238;       hpu;  gather_elements;                                    gather_elements(Tensor self, Tensor index, Tensor? opt, int64_t dim_, bool sorted) -> Tensor;
../../generated/backend/hpu_op9.cpp:1223;             hpu;  geometric.out;                                      geometric.out(Tensor self, float p, Tensor seed, Tensor(a!) out) -> Tensor(a!);
../../generated/backend/hpu_op5.cpp:1254;             hpu;  geometric_;                                         geometric_(Tensor(a!) self, float p, Tensor seed) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2204;       hpu;  habanaOptimizerFusedAdagrad;                        habanaOptimizerFusedAdagrad(Tensor[] gradients, Tensor(a!)[] weights_in, Tensor(b!)[] variances_in, Tensor epoch_num, Tensor(c!) learning_rate, float wd, float lrd, float eps) -> ();
../../habana_kernels/kernels_register.cpp:2206;       hpu;  habanaOptimizerFusedSGD;                            habanaOptimizerFusedSGD(Tensor[] gradients, Tensor(a!)[] weights_in, Tensor(b!) learning_rate, float wd, float mom, float damp, bool nesterov) -> ();
../../habana_kernels/kernels_register.cpp:2220;       hpu;  habanaOptimizerLars;                                habanaOptimizerLars(Tensor[] params, Tensor(a!)[] grads, Tensor lr_t, int[] skip_masks, float eeta, float weight_decay, float eps) -> ();
../../habana_kernels/kernels_register.cpp:2197;       hpu;  habanaOptimizerSparseAdagrad;                       habanaOptimizerSparseAdagrad(Tensor gradients, Tensor(a!) weights_in, Tensor(b!) moments_in, Tensor indices, Tensor learning_rate, Tensor valid_count_tensor) -> (Tensor(a!), Tensor(b!));
../../habana_kernels/kernels_register.cpp:2195;       hpu;  habanaOptimizerSparseSgd;                           habanaOptimizerSparseSgd(Tensor gradients, Tensor(a!) weights_in, Tensor(b!) moments_in, Tensor indices, Tensor learning_rate, Tensor valid_count_tensor, float mom, bool nesterov) -> (Tensor(a!), Tensor(b!));
../../habana_kernels/kernels_register.cpp:2193;       hpu;  habana_d2d_memcpy;                                  habana_d2d_memcpy(Tensor self) -> Tensor;
../../habana_kernels/kernels_register.cpp:2186;       hpu;  habana_d2d_memcpy_other;                            habana_d2d_memcpy_other(Tensor s, Tensor(a!) d) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2224;       hpu;  habana_nms;                                         habana_nms(Tensor boxes, Tensor scores, float iou_threshold, float score_threshold) -> (Tensor, Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1812; hpu;  hpu::accumulate_grads_;                             hpu::accumulate_grads_(Tensor[] variables, Tensor[] new_grads) -> ();
../../habana_kernels/kernels_register.cpp:2331;       hpu;  hpu::add.Scalar;                                    hpu::add.Scalar(Tensor self, Scalar other, Scalar alpha) -> Tensor;
../../habana_kernels/kernels_register.cpp:2330;       hpu;  hpu::add.Tensor;                                    hpu::add.Tensor(Tensor self, Tensor other, Scalar alpha) -> Tensor;
../../habana_kernels/kernels_register.cpp:2335;       hpu;  hpu::add_.Scalar;                                   hpu::add_.Scalar(Tensor(a) self, Scalar other, Scalar alpha) -> Tensor(a);
../../habana_kernels/kernels_register.cpp:2333;       hpu;  hpu::add_.Tensor;                                   hpu::add_.Tensor(Tensor(a) self, Tensor other, Scalar alpha) -> Tensor(a);
../../habana_eager/eager_custom_op_register.cpp:1661; hpu;  hpu::cast_from_fp8;                                 hpu::cast_from_fp8(Tensor input, Tensor? scale, ScalarType out_dtype, int[]? scale_shape=None) -> Tensor;
../../habana_kernels/kernels_register.cpp:2356;       hpu;  hpu::cast_from_fp8;                                 hpu::cast_from_fp8(Tensor input, Tensor? scale, ScalarType out_dtype, int[]? scale_shape=None) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1663; hpu;  hpu::cast_from_fp8.scalar;                          hpu::cast_from_fp8.scalar(Tensor input, float scale, ScalarType out_dtype, int[]? scale_shape=None) -> Tensor;
../../habana_kernels/kernels_register.cpp:2358;       hpu;  hpu::cast_from_fp8.scalar;                          hpu::cast_from_fp8.scalar(Tensor input, float scale, ScalarType out_dtype, int[]? scale_shape=None) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1665; hpu;  hpu::cast_from_fp8.scalar_list;                     hpu::cast_from_fp8.scalar_list(Tensor input, float[] scale, ScalarType out_dtype, int[]? scale_shape=None) -> Tensor;
../../habana_kernels/kernels_register.cpp:2360;       hpu;  hpu::cast_from_fp8.scalar_list;                     hpu::cast_from_fp8.scalar_list(Tensor input, float[] scale, ScalarType out_dtype, int[]? scale_shape=None) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1667; hpu;  hpu::cast_to_fp8;                                   hpu::cast_to_fp8(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) amax) -> (Tensor(a!), Tensor(b!));
../../habana_kernels/kernels_register.cpp:2340;       hpu;  hpu::cast_to_fp8;                                   hpu::cast_to_fp8(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) amax) -> (Tensor(a!), Tensor(b!));
../../habana_eager/eager_custom_op_register.cpp:1675; hpu;  hpu::cast_to_fp8_hybrid;                            hpu::cast_to_fp8_hybrid(Tensor input, Tensor? scale_152=None, Tensor? scale_143=None, bool stochastic_rounding=False, bool is_amax=False) -> (Tensor, Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2348;       hpu;  hpu::cast_to_fp8_hybrid;                            hpu::cast_to_fp8_hybrid(Tensor input, Tensor? scale_152=None, Tensor? scale_143=None, bool stochastic_rounding=False, bool is_amax=False) -> (Tensor, Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1669; hpu;  hpu::cast_to_fp8_v2;                                hpu::cast_to_fp8_v2(Tensor input, Tensor? scale=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None, int[]? scale_shape=None) -> (Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2342;       hpu;  hpu::cast_to_fp8_v2;                                hpu::cast_to_fp8_v2(Tensor input, Tensor? scale=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None, int[]? scale_shape=None) -> (Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1671; hpu;  hpu::cast_to_fp8_v2.scalar;                         hpu::cast_to_fp8_v2.scalar(Tensor input, float scale, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None, int[]? scale_shape=None) -> (Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2344;       hpu;  hpu::cast_to_fp8_v2.scalar;                         hpu::cast_to_fp8_v2.scalar(Tensor input, float scale, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None, int[]? scale_shape=None) -> (Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1673; hpu;  hpu::cast_to_fp8_v2.scalar_list;                    hpu::cast_to_fp8_v2.scalar_list(Tensor input, float[] scale, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None, int[]? scale_shape=None) -> (Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2346;       hpu;  hpu::cast_to_fp8_v2.scalar_list;                    hpu::cast_to_fp8_v2.scalar_list(Tensor input, float[] scale, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None, int[]? scale_shape=None) -> (Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2325;       hpu;  hpu::constant_pad_nd;                               hpu::constant_pad_nd(Tensor self, int[] pad_tensor, Scalar value) -> Tensor;
../../habana_kernels/kernels_register.cpp:2323;       hpu;  hpu::constant_pad_nd_ht;                            hpu::constant_pad_nd_ht(Tensor self, Tensor pad_tensor, Tensor output_shape_tensor, Scalar value) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1677; hpu;  hpu::conv2d_fp8;                                    hpu::conv2d_fp8(Tensor input, Tensor weight, Tensor? bias=None, int[2] stride=1, int[2] padding=0, int[2] dilation=1, int groups=1, ScalarType? out_dtype=None, Tensor? scale_input=None, Tensor? scale_weight=None) -> Tensor;
../../habana_kernels/kernels_register.cpp:2469;       hpu;  hpu::conv2d_fp8;                                    hpu::conv2d_fp8(Tensor input, Tensor weight, Tensor? bias=None, int[2] stride=1, int[2] padding=0, int[2] dilation=1, int groups=1, ScalarType? out_dtype=None, Tensor? scale_input=None, Tensor? scale_weight=None) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1679; hpu;  hpu::conv2d_fp8.scalar;                             hpu::conv2d_fp8.scalar(Tensor input, Tensor weight, Tensor? bias=None, int[2] stride=1, int[2] padding=0, int[2] dilation=1, int groups=1, ScalarType? out_dtype=None, float scale_input=1.0, float scale_weight=1.0) -> Tensor;
../../habana_kernels/kernels_register.cpp:2471;       hpu;  hpu::conv2d_fp8.scalar;                             hpu::conv2d_fp8.scalar(Tensor input, Tensor weight, Tensor? bias=None, int[2] stride=1, int[2] padding=0, int[2] dilation=1, int groups=1, ScalarType? out_dtype=None, float scale_input=1.0, float scale_weight=1.0) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1751; hpu;  hpu::ctc_loss_custom;                               hpu::ctc_loss_custom(Tensor log_probs, Tensor targets, Tensor input_lengths, Tensor target_lengths, int blank, int reduction, bool zero_infinity) -> (Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2416;       hpu;  hpu::ctc_loss_custom;                               hpu::ctc_loss_custom(Tensor log_probs, Tensor targets, Tensor input_lengths, Tensor target_lengths, int blank, int reduction, bool zero_infinity) -> (Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1753; hpu;  hpu::ctc_loss_custom_backward;                      hpu::ctc_loss_custom_backward(Tensor grad, Tensor log_probs, Tensor targets, Tensor input_lengths, Tensor target_lengths, Tensor neg_log_likelihood, Tensor log_alpha, int blank, int reduction, bool zero_infinity) -> Tensor;
../../habana_kernels/kernels_register.cpp:2418;       hpu;  hpu::ctc_loss_custom_backward;                      hpu::ctc_loss_custom_backward(Tensor grad, Tensor log_probs, Tensor targets, Tensor input_lengths, Tensor target_lengths, Tensor neg_log_likelihood, Tensor log_alpha, int blank, int reduction, bool zero_infinity) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1813; hpu;  hpu::custom_foreach_add_;                           hpu::custom_foreach_add_(Tensor(a!)[] self, Tensor[] other) -> ();
../../habana_eager/eager_custom_op_register.cpp:1680; hpu;  hpu::custom_softmax;                                hpu::custom_softmax(Tensor input, int flavor) -> Tensor;
../../habana_kernels/kernels_register.cpp:2404;       hpu;  hpu::custom_softmax;                                hpu::custom_softmax(Tensor input, int flavor) -> Tensor;
../../habana_kernels/kernels_register.cpp:2318;       hpu;  hpu::expand;                                        hpu::expand(Tensor(a) self, int[] sizes, *, bool implicit=False) -> Tensor(a);
../../habana_kernels/kernels_register.cpp:2320;       hpu;  hpu::expand_ds;                                     hpu::expand_ds(Tensor(a) self, Tensor shape, *, bool implicit=False) -> Tensor(a);
../../habana_eager/eager_custom_op_register.cpp:1682; hpu;  hpu::fp8_bgrad_dgelu;                               hpu::fp8_bgrad_dgelu(Tensor grad, Tensor input, Tensor? scale=None, Tensor? retain=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None) -> (Tensor, Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2368;       hpu;  hpu::fp8_bgrad_dgelu;                               hpu::fp8_bgrad_dgelu(Tensor grad, Tensor input, Tensor? scale=None, Tensor? retain=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None) -> (Tensor, Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1684; hpu;  hpu::fp8_cast_transpose;                            hpu::fp8_cast_transpose(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) transposed, Tensor(c!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!));
../../habana_kernels/kernels_register.cpp:2350;       hpu;  hpu::fp8_cast_transpose;                            hpu::fp8_cast_transpose(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) transposed, Tensor(c!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!));
../../habana_eager/eager_custom_op_register.cpp:1686; hpu;  hpu::fp8_cast_transpose_bgrad;                      hpu::fp8_cast_transpose_bgrad(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) transposed, Tensor(c!) bgrad, Tensor(d!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!), Tensor(d!));
../../habana_kernels/kernels_register.cpp:2352;       hpu;  hpu::fp8_cast_transpose_bgrad;                      hpu::fp8_cast_transpose_bgrad(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) transposed, Tensor(c!) bgrad, Tensor(d!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!), Tensor(d!));
../../habana_eager/eager_custom_op_register.cpp:1688; hpu;  hpu::fp8_cast_transpose_bgrad_dgelu;                hpu::fp8_cast_transpose_bgrad_dgelu(Tensor grad, Tensor input, Tensor? scale, Tensor? retain, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) transposed, Tensor(c!) bgrad, Tensor(d!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!), Tensor(d!));
../../habana_kernels/kernels_register.cpp:2354;       hpu;  hpu::fp8_cast_transpose_bgrad_dgelu;                hpu::fp8_cast_transpose_bgrad_dgelu(Tensor grad, Tensor input, Tensor? scale, Tensor? retain, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) transposed, Tensor(c!) bgrad, Tensor(d!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!), Tensor(d!));
../../habana_eager/eager_custom_op_register.cpp:1689; hpu;  hpu::fp8_copy_;                                     hpu::fp8_copy_(Tensor(a!) self, Tensor src) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2453;       hpu;  hpu::fp8_copy_;                                     hpu::fp8_copy_(Tensor(a!) self, Tensor src) -> Tensor(a!);
../../habana_eager/eager_custom_op_register.cpp:1691; hpu;  hpu::fp8_dropout;                                   hpu::fp8_dropout(Tensor input, float p, Tensor? scale=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None) -> (Tensor, Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2362;       hpu;  hpu::fp8_dropout;                                   hpu::fp8_dropout(Tensor input, float p, Tensor? scale=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None) -> (Tensor, Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1693; hpu;  hpu::fp8_fast_softmax;                              hpu::fp8_fast_softmax(Tensor input, Tensor mask, Tensor? scale, float softmax_scale, bool stochastic_rounding, bool is_amax, ScalarType? dtype=None) -> (Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2370;       hpu;  hpu::fp8_fast_softmax;                              hpu::fp8_fast_softmax(Tensor input, Tensor mask, Tensor? scale, float softmax_scale, bool stochastic_rounding, bool is_amax, ScalarType? dtype=None) -> (Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1695; hpu;  hpu::fp8_gelu;                                      hpu::fp8_gelu(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) retain, Tensor(c!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!));
../../habana_kernels/kernels_register.cpp:2364;       hpu;  hpu::fp8_gelu;                                      hpu::fp8_gelu(Tensor input, Tensor? scale, bool stochastic_rounding, Tensor(a!) out, Tensor(b!) retain, Tensor(c!) amax) -> (Tensor(a!), Tensor(b!), Tensor(c!));
../../habana_eager/eager_custom_op_register.cpp:1697; hpu;  hpu::fp8_gelu_v2;                                   hpu::fp8_gelu_v2(Tensor input, Tensor? scale=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None) -> (Tensor, Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2366;       hpu;  hpu::fp8_gelu_v2;                                   hpu::fp8_gelu_v2(Tensor input, Tensor? scale=None, bool stochastic_rounding=False, bool is_amax=False, ScalarType? dtype=None) -> (Tensor, Tensor, Tensor);
../../habana_eager/eager_custom_op_register.cpp:1699; hpu;  hpu::fp8_gemm;                                      hpu::fp8_gemm(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor D, ScalarType out_dtype, Tensor? A_scale_inv, Tensor? B_scale_inv, Tensor? bias, bool accumulate, Tensor(a!) out) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2374;       hpu;  hpu::fp8_gemm;                                      hpu::fp8_gemm(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor D, ScalarType out_dtype, Tensor? A_scale_inv, Tensor? B_scale_inv, Tensor? bias, bool accumulate, Tensor(a!) out) -> Tensor(a!);
../../habana_eager/eager_custom_op_register.cpp:1701; hpu;  hpu::fp8_gemm_v2;                                   hpu::fp8_gemm_v2(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor? D, ScalarType out_dtype, Tensor? A_scale_inv=None, Tensor? B_scale_inv=None, Tensor? bias=None, bool accumulate=False, int[]? B_scale_shape=None) -> Tensor;
../../habana_kernels/kernels_register.cpp:2376;       hpu;  hpu::fp8_gemm_v2;                                   hpu::fp8_gemm_v2(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor? D, ScalarType out_dtype, Tensor? A_scale_inv=None, Tensor? B_scale_inv=None, Tensor? bias=None, bool accumulate=False, int[]? B_scale_shape=None) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1703; hpu;  hpu::fp8_gemm_v2.scalar;                            hpu::fp8_gemm_v2.scalar(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor? D, ScalarType out_dtype, float A_scale_inv, float B_scale_inv, Tensor? bias=None, bool accumulate=False, int[]? B_scale_shape=None) -> Tensor;
../../habana_kernels/kernels_register.cpp:2378;       hpu;  hpu::fp8_gemm_v2.scalar;                            hpu::fp8_gemm_v2.scalar(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor? D, ScalarType out_dtype, float A_scale_inv, float B_scale_inv, Tensor? bias=None, bool accumulate=False, int[]? B_scale_shape=None) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1705; hpu;  hpu::fp8_gemm_v2.scalar_list;                       hpu::fp8_gemm_v2.scalar_list(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor? D, ScalarType out_dtype, float[] A_scale_inv, float[] B_scale_inv, Tensor? bias=None, bool accumulate=False, int[]? B_scale_shape=None) -> Tensor;
../../habana_kernels/kernels_register.cpp:2380;       hpu;  hpu::fp8_gemm_v2.scalar_list;                       hpu::fp8_gemm_v2.scalar_list(Tensor A, bool trans_A, Tensor B, bool trans_B, Tensor? D, ScalarType out_dtype, float[] A_scale_inv, float[] B_scale_inv, Tensor? bias=None, bool accumulate=False, int[]? B_scale_shape=None) -> Tensor;
../../habana_eager/eager_custom_op_register.cpp:1707; hpu;  hpu::fp8_index_copy_;                               hpu::fp8_index_copy_(Tensor(a!) self, int dim, Tensor index, Tensor source) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2459;       hpu;  hpu::fp8_index_copy_;                               hpu::fp8_index_copy_(Tensor(a!) self, int dim, Tensor index, Tensor source) -> Tensor(a!);
../../habana_eager/eager_custom_op_register.cpp:1709; hpu;  hpu::fp8_index_select_v2;                           hpu::fp8_index_select_v2(Tensor self, int dim, Tensor index) -> Tensor;
../../habana_kernels/kernels_register.cpp:2462;       hpu;  hpu::fp8_index_select_v2;                           hpu::fp8_index_select_v2(Tensor self, int dim, Tensor index) -> Tensor;
